Name,Email,Role,App access,Groups,Date added
Alex Xu,alex.xu@ext-a876a8.com,User,Designer,members AgentCreatorBootcamp_CustomerAlpha,2026-07-19T12:43:19.796Z
Alex Zhang,alex.zhang@ext-84f9b1.com,User,Designer,members Bootcamp_EMEA_February_2026,2026-02-22T12:07:38.312Z
Avery Adams,avery.adams@ext-a876a8.com,User,Designer,members AgentCreatorBootcamp_EMEA_November_2025 PartnerOne,2025-11-23T18:44:53.563Z
Avery Baker,avery.baker@ext-7f91a9.com,User,Designer,members AgentCreatorBootcamp_CustomerAlpha,2026-07-19T12:43:04.495Z
Alex Nash,alex.nash@snaplogic.com,User,Designer,members Bootcamp_US_June_2025,2025-06-27T15:45:39.005Z
Avery Ellis,avery.ellis@ext-26da4f.com,User,Designer,members AgentCreatorBootcamp_EMEA_January_2026,2026-01-11T22:37:25.153Z
Avery Ellis,avery.ellis@ext-33cee5.com,User,Designer,members AgentCreatorBootcamp_EMEA_January_2026,2026-01-11T22:25:07.128Z
Alex Singh,alex.singh@snaplogic.com,User,Designer,members,2026-01-31T17:18:01.769Z
Avery Adams,avery.adams@snaplogic.com,Environment admin,Designer AutoSync,members admins,2024-01-02T20:56:26.372Z
Avery Cooper,avery.cooper@snaplogic.com,Environment admin,Designer AutoSync,members admins,2025-07-16T14:53:29.372Z
Avery Ellis,avery.ellis@ext-84f9b1.com,User,Designer,members US_Bootcamp_August_2025,2025-08-07T14:32:38.611Z
Avery Evans,avery.evans@ext-131556.com,User,Designer,members AgentCreatorBootcamp_EMEA_October_2025,2025-10-06T16:10:34.236Z
Avery Harris,avery.harris@snaplogic.com,Environment admin,Designer,members admins,2026-03-16T20:48:18.665Z
Avery Moss,avery.moss@snaplogic.com,User,Designer,members AgentCreatorBootcamp_EMEA_January_2026,2026-01-11T22:39:16.597Z
Avery Park,avery.park@snaplogic.com,Environment admin,Designer AutoSync,members admins,2024-02-22T16:40:20.127Z
Avery Jensen,avery.jensen@ext-653eac.com,User,Designer,members Bootcamp_EMEA_February_2026,2024-02-21T06:58:01.137Z
Avery Ortiz,avery.ortiz@ext-a876a8.com,User,Designer,members AgentCreatorBootcamp_EMEA_October_2025 AgentCreatorBootcamp_EMEA_November_2025,2025-10-06T16:08:28.482Z
Avery Patel,avery.patel@ext-9bcd09.com,User,Designer,members AgentCreatorBootcampEMEA_June2026,2026-06-24T06:58:50.039Z
Avery Quinn,avery.quinn@ext-190a1c.com,User,Designer,members AgentCreatorBootcamp_CustomerAlpha,2026-07-19T12:42:50.259Z
Avery Vance,avery.vance@ext-26da4f.com,User,Designer,members AgentCreatorBootcampEMEA_June2026,2026-06-24T08:51:53.940Z
Avery Vega,avery.vega@ext-591bfe.com,User,Designer,members AgentCreatorBootcamp_AMEA_August_2025 PartnerOne,2025-08-11T07:57:21.636Z
Avery Xia,avery.xia@ext-26da4f.com,User,Designer AutoSync,members PartnerThree AgentCreatorBootcamp_EMEA_May_2025 PartnerThree_Demos,2025-03-25T12:13:13.996Z
Avery Zhang,avery.zhang@ext-680c47.com,User,Designer,members AgentCreatorBootcamp_CustomerAlpha,2026-07-20T08:37:19.222Z
Blake Cooper,blake.cooper@ext-2d8726.com,User,Designer AutoSync,members,2024-09-06T08:38:11.858Z
Blake Foster,blake.foster@ext-26da4f.com,User,Designer,members AgentCreatorBootcamp_CustomerAlpha,2026-07-19T12:42:29.461Z
Blake Grant,blake.grant@ext-7bf6fa.com,User,Designer AutoSync,members AgentCreatorTraining_CustomerBravo,2025-04-28T10:43:46.164Z
Blake Harris,blake.harris@ext-591bfe.com,User,Designer AutoSync,members AgentCreatorBootcamp_EMEA_June_2025,2025-06-15T21:15:14.510Z
Blake Holt,blake.holt@ext-591bfe.com,User,Designer AutoSync,members AgentCreatorBootcamp_EMEA_June_2025,2025-06-15T21:14:31.203Z
Blake Holt,blake.holt@ext-9a0743.com,User,Designer,members PartnerFour AgentCreatorBootcamp_EMEA_January_2026,2026-01-07T13:51:06.860Z
Blake Ibarra,blake.ibarra@ext-9c4f44.com,User,Designer,members AgentCreatorBootcamp_EMEA_March_2026,2025-10-20T13:23:34.000Z
Blake Jensen,blake.jensen@ext-a570e0.com,User,Designer,members AgentCreatorBootcamp_CustomerAlpha,2026-07-19T12:43:32.599Z
Blake Utley,blake.utley@ext-f34ab7.com,User,Designer AutoSync,members AgentCreatorBootcamp_EMEA_June_2025,2025-06-15T21:14:19.611Z
Blake York,blake.york@ext-84f9b1.com,User,Designer,members AgentCreatorBootcamp_AMEA_August_2025,2025-08-08T15:20:42.887Z
Avery Reid,avery.reid@snaplogic.com,Environment admin,Designer AutoSync,members admins,2025-02-18T15:56:24.894Z
Avery Utley,avery.utley@snaplogic.com,Environment admin,Designer AutoSync,members admins,2024-07-15T14:28:00.871Z
Brett Flynn,brett.flynn@ext-26da4f.com,User,Designer,members,2025-11-06T18:24:33.981Z
Brett Foster,brett.foster@ext-26da4f.com,User,Designer,members AgentCreatorBootcamp_EMEA_January_2026,2026-01-11T22:39:42.358Z
Brett Harris,brett.harris@ext-023686.com,User,Designer,members AgentCreatorBootcamp_EMEA_November_2025,2025-11-23T18:50:05.098Z
Brett Iyer,brett.iyer@ext-26da4f.com,User,Designer,members AC_Bootcamp_US_February_2026,2026-02-02T17:13:21.342Z
Brett Reyes,brett.reyes@ext-138750.com,User,Designer AutoSync,members AgentCreatorBootcamp_EMEA_May_2025,2025-05-18T20:51:27.761Z
Brett York,brett.york@ext-87f55d.com,User,Designer,members AgentCreatorBootcamp_EMEA_November_2025,2025-11-23T18:52:48.997Z
Avery Vance,avery.vance@snaplogic.com,Environment admin,Designer,members admins AgentCreatorBootcamp_AMEA_August_2025 AgentCreatorBootcamp_EMEA_January_2026,2023-11-21T14:59:53.304Z
Brett Zhu,brett.zhu@ext-6d35fd.com,User,Designer,members AgentCreatorBootcamp_EMEA_March_2026,2026-03-22T19:06:03.983Z
Brett Zhu,brett.zhu@ext-9c4f44.com,User,Designer AutoSync,members PartnerThree AgentCreatorPartnerTraining PartnerThree_Demos,2025-01-28T09:49:34.657Z
Casey Cooper,casey.cooper@ext-9c4f44.com,User,Designer,members Bootcamp_EMEA_February_2026,2026-02-22T12:09:43.247Z
Avery Yamada,avery.yamada@snaplogic.com,User,Designer,members,2026-01-31T17:18:22.125Z
Casey Foster,casey.foster@ext-51bb1d.com,User,Designer,members AgentCreatorBootcamp_EMEA_October_2025,2025-10-06T16:16:20.448Z
Casey Quinn,casey.quinn@ext-f34ab7.com,User,Designer,members AgentCreatorBootcamp_EMEA_November_2025,2025-11-23T18:50:10.743Z
Casey Reyes,casey.reyes@ext-26da4f.com,User,Designer,members AgentCreatorBootcampEMEA_June2026,2026-06-24T06:58:41.128Z
Casey Reyes,casey.reyes@ext-387eea.com,User,,members_devportal,2025-01-09T17:19:20.707Z
Casey Reyes,casey.reyes@ext-9bcd09.com,User,Designer,members AC_Bootcamp_US_February_2026,2026-01-31T17:42:44.198Z
Blake Adams,blake.adams@snaplogic.com,User,Designer,members,2026-01-31T17:18:28.414Z
Casey Reyes,casey.reyes@ext-c1bbf2.com,User,Designer,members Bootcamp_US_June_2025 PartnerOne,2025-06-27T15:52:01.332Z
Casey Utley,casey.utley@ext-591bfe.com,User,Designer,members AgentCreatorBootcamp_EMEA_October_2025 AC_Bootcamp_US_February_2026,2025-10-06T16:15:18.007Z
Blake Chen,blake.chen@snaplogic.com,User,Designer,members,2026-01-31T17:18:35.308Z
Casey Wang,casey.wang@ext-591bfe.com,User,Designer,members CustomerCharlie_AiWorkshop,2025-12-16T17:57:04.464Z
Blake Garcia,blake.garcia@snaplogic.com,User,Designer,members,2026-01-31T17:18:42.749Z
Casey Wells,casey.wells@ext-591bfe.com,User,Designer,members AC_Bootcamp_US_February_2026 Bootcamp_EMEA_February_2026,2026-01-31T18:39:39.446Z
Casey York,casey.york@ext-387eea.com,User,Designer,members Bootcamp_EMEA_February_2026 AgentCreatorBootcamp_EMEA_May_2026,2026-02-22T12:14:42.919Z
Charlie Chen,charlie.chen@ext-44cf86.com,User,Designer,members AgentCreatorBootcamp_AMEA_August_2025,2025-08-08T15:23:48.442Z
Charlie Foster,charlie.foster@ext-634bab.com,User,Designer,members Bootcamp_EMEA_February_2026,2026-02-23T09:21:43.232Z
Charlie Holt,charlie.holt@ext-7bf6fa.com,User,Designer,members AgentCreatorPartnerTraining AgentCreatorBootcamp_EMEA_January_2026,2024-10-22T11:59:26.556Z
Charlie Ibarra,charlie.ibarra@ext-a876a8.com,User,Designer,members AgentCreatorBootcamp_EMEA_January_2026,2024-10-11T11:49:14.212Z
Charlie Johal,charlie.johal@ext-f831a9.com,User,Designer,members AgentCreatorBootcamp_EMEA_November_2025,2025-11-23T18:48:33.436Z
Charlie Luna,charlie.luna@ext-3e076d.com,User,Designer,members AgentCreatorBootcamp_EMEA_January_2026,2026-01-12T10:42:19.303Z
Charlie Miller,charlie.miller@ext-1dfcd7.com,User,Designer,members Bootcamp_EMEA_February_2026,2025-10-24T08:16:19.915Z
Charlie Miller,charlie.miller@ext-7bf6fa.com,User,Designer,members AgentCreatorBootcamp_EMEA_November_2025 Bootcamp_EMEA_February_2026,2025-11-23T18:51:20.320Z
Charlie Miller,charlie.miller@ext-9c4f44.com,User,Designer,members Bootcamp_EMEA_February_2026,2026-02-20T13:10:27.911Z
Charlie Quinn,charlie.quinn@ext-591bfe.com,User,Designer AutoSync,members PartnerThree AgentCreatorPartnerTraining PartnerThree_Demos,2025-01-28T09:49:56.906Z
Charlie Singh,charlie.singh@ext-138750.com,User,Designer AutoSync,members AgentCreatorBootcamp_EMEA_June_2025,2025-06-15T21:08:36.357Z
Charlie Tran,charlie.tran@ext-ef0c92.com,User,AutoSync Designer,members AgentCreatorBootcamp_EMEA_May_2025,2025-05-18T20:52:05.706Z
Charlie Vega,charlie.vega@ext-d0173b.com,User,Designer,members AgentCreatorBootcamp_EMEA_May_2026,2026-05-18T08:38:40.972Z
Charlie Wang,charlie.wang@ext-84f9b1.com,User,Designer AutoSync,members AgentCreatorBootcamp_EMEA_June_2025,2025-06-15T21:17:53.209Z
Charlie Wells,charlie.wells@ext-1889cc.com,User,Designer,members AgentCreatorBootcamp_CustomerAlpha,2026-07-19T12:43:36.093Z
Charlie Zhang,charlie.zhang@ext-6d35fd.com,User,Designer,members AgentCreatorBootcamp_EMEA_March_2026 AgentCreatorBootcamp_EMEA_May_2026,2026-03-22T19:06:00.206Z
Dana Cooper,dana.cooper@ext-f34ab7.com,User,Designer,members AC_Bootcamp_US_February_2026,2026-01-31T18:39:52.891Z
Brett Davis,brett.davis@snaplogic.com,Environment admin,Designer AutoSync,members admins,2023-10-09T07:21:34.659Z
Brett Miller,brett.miller@snaplogic.com,User,,members,2025-04-15T07:54:02.269Z
Dana Ellis,dana.ellis@ext-8bf904.com,User,Designer,members AgentCreatorBootcamp_EMEA_November_2025,2025-11-23T18:50:34.989Z
Brett Quinn,brett.quinn@snaplogic.com,User,Designer,members Bootcamp_US_June_2025 US_Bootcamp_August_2025,2023-10-10T10:28:01.642Z
Dana Foster,dana.foster@ext-591bfe.com,User,AutoSync Designer,members AgentCreatorBootcamp_EMEA_May_2025,2025-05-18T20:51:48.479Z
Brett Wang,brett.wang@snaplogic.com,User,Designer,members,2026-01-31T17:18:50.957Z
Dana Johal,dana.johal@ext-2c0c28.com,User,Designer AutoSync,members AgentCreatorBootcamp_EMEA_June_2025 AgentCreatorBootcamp_EMEA_June_2025_GroupB PartnerTwo,2024-02-21T05:42:30.985Z
Dana Miller,dana.miller@ext-d0173b.com,User,Designer,members AgentCreatorBootcamp_EMEA_October_2025,2025-10-06T16:09:26.967Z
Dana Miller,dana.miller@ext-f34ab7.com,User,Designer,members Bootcamp_US_June_2025,2025-06-30T16:00:45.502Z
Casey Ellis,casey.ellis@snaplogic.com,Environment admin,Designer AutoSync,members admins,2025-02-27T17:37:52.732Z
Dana Moss,dana.moss@ext-1dfcd7.com,User,Designer,members Bootcamp_EMEA_February_2026 AgentCreatorBootcamp_EMEA_March_2026 AgentCreatorBootcamp_EMEA_May_2026,2026-02-22T12:14:14.096Z
Dana Nash,dana.nash@ext-023686.com,User,Designer,members AgentCreatorBootcamp_EMEA_November_2025,2025-11-23T18:51:52.653Z
Dana Nash,dana.nash@ext-0ffece.com,User,Designer,members AgentCreatorBootcamp_EMEA_March_2026,2026-03-22T19:04:28.743Z
Dana Quinn,dana.quinn@ext-9c4f44.com,User,Designer,members AgentCreatorBootcamp_EMEA_June_2025 Bootcamp_US_June_2025 AgentCreatorBootcamp_EMEA_October_2025 AgentCreatorBootcamp_EMEA_November_2025,2025-06-27T15:53:12.428Z
Casey Knox,casey.knox@snaplogic.com,User,Designer,members,2026-01-31T17:19:39.192Z
Dana Shah,dana.shah@ext-591bfe.com,User,Designer,members AgentCreatorBootcampEMEA_June2026,2026-06-23T05:17:37.917Z
Dana Torres,dana.torres@ext-f34ab7.com,User,Designer,members AgentCreatorBootcamp_CustomerAlpha,2026-07-20T09:57:38.515Z
Casey Ortiz,casey.ortiz@snaplogic.com,User,Designer,members AgentCreatorBootcamp_AMEA_August_2025,2025-08-08T15:23:06.631Z
Dana Tran,dana.tran@ext-591bfe.com,User,Designer,members AgentCreatorBootcamp_EMEA_November_2025,2025-11-23T18:45:51.475Z
Dana Vance,dana.vance@ext-7bf6fa.com,User,Designer,members AC_Bootcamp_US_February_2026,2026-01-31T18:39:59.008Z
Dana Vega,dana.vega@ext-73c6f0.com,User,Designer,members AC_Bootcamp_US_February_2026,2026-01-31T18:40:05.522Z
Dana Zhu,dana.zhu@ext-7bf6fa.com,User,Designer,members US_Bootcamp_August_2025,2025-08-07T14:29:23.586Z
Casey Tran,casey.tran@snaplogic.com,Environment admin,,members admins,2025-06-10T14:28:43.934Z
Charlie Baker,charlie.baker@snaplogic.com,User,,members,2026-03-12T14:29:03.442Z
Charlie Brooks,charlie.brooks@snaplogic.com,Environment admin,Designer AutoSync,members admins AgentCreatorBootcamp_EMEA_June_2025 ExampleDemo,2025-02-18T15:57:02.313Z
Devon Holt,devon.holt@ext-0a199e.com,User,Designer,members Bootcamp_US_June_2025,2025-06-27T15:54:26.154Z
Devon Holt,devon.holt@ext-30d03e.com,User,Designer,members,2024-02-09T12:34:26.206Z
Devon Park,devon.park@ext-0f3815.com,User,Designer,members AgentCreatorBootcamp_EMEA_November_2025 PartnerOne,2025-11-23T18:53:25.968Z
Devon Torres,devon.torres@ext-0fa3d4.com,User,Designer,members AgentCreatorBootcamp_EMEA_November_2025,2025-11-23T18:52:16.313Z
Devon Ueda,devon.ueda@ext-26da4f.com,User,Designer,members,2026-03-27T16:54:06.799Z
Devon Vance,devon.vance@ext-9c4f44.com,User,Designer,members AC_Bootcamp_US_February_2026,2026-01-31T18:40:10.870Z
Devon Vega,devon.vega@ext-445152.com,User,Designer,members US_Bootcamp_August_2025,2025-08-11T15:57:12.548Z
Devon Vega,devon.vega@ext-eda065.com,User,Designer,members AgentCreatorBootcampEMEA_June2026,2026-06-24T06:57:08.067Z
Devon Wang,devon.wang@ext-7bf6fa.com,User,Designer,members Bootcamp_EMEA_February_2026,2026-02-22T12:13:03.277Z
Devon Yamada,devon.yamada@ext-f34ab7.com,User,Designer,members CustomerCharlie_AiWorkshop,2025-12-16T17:57:11.344Z
Drew Flynn,drew.flynn@ext-591bfe.com,User,Designer,members AgentCreatorBootcamp_EMEA_November_2025,2025-11-23T18:50:00.784Z
Charlie Reyes,charlie.reyes@snaplogic.com,User,Designer,members AgentCreatorBootcamp_EMEA_June_2025 Bootcamp_US_June_2025,2023-08-28T19:51:03.476Z
Charlie Shah,charlie.shah@snaplogic.com,Environment admin,Designer,members admins AgentCreatorBootcamp_EMEA_October_2025,2025-10-06T16:10:22.344Z
Dana Foster,dana.foster@snaplogic.com,Environment admin,Designer AutoSync,members admins,2024-12-02T18:28:06.176Z
Drew Ibarra,drew.ibarra@ext-26da4f.com,User,Designer,members AgentCreatorBootcamp_AMEA_August_2025,2025-08-08T15:18:41.711Z
Drew Jensen,drew.jensen@ext-591bfe.com,User,Designer,members AgentCreatorBootcamp_EMEA_May_2026,2026-05-17T21:19:04.363Z
Dana Lopez,dana.lopez@snaplogic.com,User,Designer,members,2026-01-31T17:19:47.488Z
Drew Jensen,drew.jensen@ext-a876a8.com,User,Designer,members AgentCreatorBootcamp_EMEA_January_2026,2025-12-22T15:28:39.096Z
Drew Park,drew.park@ext-9a0743.com,User,Designer,members PartnerOne AgentCreatorBootcamp_EMEA_January_2026,2026-01-06T09:06:22.920Z
Dana Moss,dana.moss@snaplogic.com,Environment admin,Designer,members admins,2024-05-12T07:06:28.925Z
Drew Park,drew.park@ext-c8d2ab.com,User,Designer,members AC_Bootcamp_US_February_2026,2026-01-31T18:40:28.085Z
Drew Quinn,drew.quinn@ext-524d8d.com,User,Designer,members Bootcamp_EMEA_February_2026,2024-12-17T13:17:03.070Z
Drew Quinn,drew.quinn@ext-f34ab7.com,User,Designer,members PartnerThree PartnerThree_Demos,2024-05-02T15:03:28.867Z
Drew Reyes,drew.reyes@ext-34409a.com,User,Designer,members PartnerThree PartnerThree_Demos Bootcamp_EMEA_February_2026,2025-03-25T12:10:52.336Z
Drew Shah,drew.shah@ext-591bfe.com,User,Designer,members AgentCreatorBootcamp_EMEA_March_2026,2024-01-04T17:03:23.349Z
Dana Patel,dana.patel@snaplogic.com,Environment admin,Designer AutoSync,members admins,2024-12-02T18:27:29.426Z
Drew Torres,drew.torres@ext-0a199e.com,User,Designer,members AC_Bootcamp_US_February_2026,2026-01-31T18:40:39.355Z
Eden Davis,eden.davis@ext-387eea.com,User,Designer,members AC_Bootcamp_US_February_2026,2026-01-31T18:40:48.222Z
Eden Diaz,eden.diaz@ext-dc2a05.com,User,Designer,members AgentCreatorBootcamp_AMEA_August_2025 AgentCreatorBootcamp_EMEA_March_2026,2025-08-08T15:22:14.145Z
Devon Foster,devon.foster@snaplogic.com,Environment admin,Designer AutoSync,members admins,2025-10-20T16:45:53.089Z
Devon Garcia,devon.garcia@snaplogic.com,User,Designer,members,2026-01-31T17:19:55.231Z
Devon Holt,devon.holt@snaplogic.com,User,Designer AutoSync,members,2024-06-18T13:22:15.799Z
Devon Yamada,devon.yamada@snaplogic.com,Environment admin,Designer,members admins,2023-04-25T18:41:30.496Z
Eden Flynn,eden.flynn@ext-669f45.com,User,Designer,members Bootcamp_EMEA_February_2026,2026-02-22T12:14:36.174Z
Eden Holt,eden.holt@ext-26da4f.com,User,,members,2024-01-11T10:23:13.119Z
Eden Iyer,eden.iyer@ext-26da4f.com,User,Designer,members US_Bootcamp_August_2025,2025-08-07T14:33:04.651Z
Devon Zhu,devon.zhu@snaplogic.com,User,Designer,members,2026-01-31T17:20:00.609Z
Drew Patel,drew.patel@snaplogic.com,Environment admin,Designer AutoSync,members admins,2025-02-25T10:08:42.698Z
Drew Ueda,drew.ueda@snaplogic.com,Environment admin,Designer,members admins,2026-06-18T17:29:32.687Z
Drew Utley,drew.utley@snaplogic.com,Environment admin,Designer,members admins,2024-05-10T18:34:21.573Z
Drew Vance,drew.vance@snaplogic.com,Environment admin,Designer AutoSync,members admins,2023-08-29T15:28:10.579Z
Drew Yamada,drew.yamada@snaplogic.com,Environment admin,Designer AutoSync,members admins,2025-03-20T09:40:13.348Z
Eden Cooper,eden.cooper@snaplogic.com,User,Designer,members,2026-01-31T17:20:03.945Z
Eden Kim,eden.kim@ext-73c6f0.com,User,Designer,members US_Bootcamp_August_2025,2025-08-07T14:25:55.553Z
Eden Kim,eden.kim@ext-7bf6fa.com,User,Designer,members AgentCreatorBootcamp_AMEA_August_2025 PartnerOne,2025-08-08T15:20:20.752Z
Eden Nash,eden.nash@ext-127938.com,User,Designer,members AgentCreatorBootcamp_AMEA_August_2025 PartnerOne,2025-08-11T07:57:02.769Z
Eden Quinn,eden.quinn@ext-9c4f44.com,User,Designer,members AC_Bootcamp_US_February_2026,2026-01-31T18:41:14.660Z
Eden Reid,eden.reid@ext-0bcee0.com,User,Designer,members AgentCreatorBootcamp_EMEA_March_2026,2026-03-22T19:02:27.679Z
Eden Utley,eden.utley@ext-872968.com,User,Designer,members AgentCreatorBootcamp_AMER_May_2025,2025-05-12T15:00:52.176Z
Eden Flynn,eden.flynn@snaplogic.com,Environment admin,Designer,members admins,2025-05-19T17:09:11.920Z
Eden Vega,eden.vega@ext-d00c77.com,User,Designer,members AgentCreatorBootcamp_EMEA_March_2026,2025-08-20T07:58:21.698Z
Eden Wang,eden.wang@ext-634bab.com,User,Designer,members CustomerCharlie_AiWorkshop,2025-12-16T17:57:16.283Z
Eden Xia,eden.xia@ext-6babeb.com,User,Designer,members AgentCreatorBootcamp_EMEA_November_2025,2025-11-23T18:46:09.244Z
Eden Xu,eden.xu@ext-40fcab.com,User,Designer,members AgentCreatorBootcamp_EMEA_January_2026,2026-01-11T22:25:49.255Z
Eden Foster,eden.foster@snaplogic.com,User,Designer,members AgentCreatorBootcamp_EMEA_January_2026,2026-01-11T22:37:40.038Z
Eden Yamada,eden.yamada@ext-524d8d.com,Environment admin,Designer,members admins,2024-10-10T18:23:40.275Z
Eden York,eden.york@ext-84f9b1.com,User,Designer,members AC_Bootcamp_US_February_2026,2026-01-31T18:41:58.845Z
Ellis Brooks,ellis.brooks@ext-3e9741.com,User,Designer,members AC_Bootcamp_US_February_2026,2026-01-31T18:42:10.133Z
Ellis Ellis,ellis.ellis@ext-1dfcd7.com,User,Designer AutoSync,members AgentCreatorBootcamp_EMEA_May_2025,2025-05-18T20:54:11.434Z
Ellis Garcia,ellis.garcia@ext-9bcd09.com,User,Designer,members AgentCreatorBootcamp_EMEA_November_2025,2025-11-23T18:47:42.445Z
Eden Johal,eden.johal@snaplogic.com,Environment admin,Designer AutoSync,members admins Bootcamp_US_June_2025 US_Bootcamp_August_2025,2025-02-18T15:55:41.041Z
Ellis Kim,ellis.kim@ext-6e4f12.com,User,Designer,members AgentCreatorBootcamp_EMEA_May_2026,2026-05-17T21:19:26.980Z
Ellis Moss,ellis.moss@ext-591bfe.com,User,Designer,members AC_Bootcamp_US_February_2026,2026-01-31T18:41:45.094Z
Eden Nguyen,eden.nguyen@snaplogic.com,User,Designer,members,2024-12-03T11:47:18.569Z
Eden Vance,eden.vance@snaplogic.com,User,,members,2025-01-14T09:35:57.932Z
Ellis Zhu,ellis.zhu@snaplogic.com,Environment admin,,members admins,2024-12-12T14:18:12.504Z
Fern Jensen,fern.jensen@snaplogic.com,User,Designer,members,2025-01-14T15:48:33.221Z
Fern Patel,fern.patel@snaplogic.com,Environment admin,Designer AutoSync,members admins,2023-09-20T14:38:15.531Z
Ellis Nash,ellis.nash@ext-9c4f44.com,User,Designer,members,2025-05-01T13:46:58.969Z
Ellis Nguyen,ellis.nguyen@ext-26da4f.com,User,Designer,members AgentCreatorBootcamp_AMER_May_2025,2025-05-12T15:00:41.844Z
Fern Reyes,fern.reyes@snaplogic.com,User,Designer,members,2026-01-31T17:20:44.691Z
Ellis Ueda,ellis.ueda@ext-7bf6fa.com,User,Designer,members AgentCreatorBootcampEMEA_June2026,2026-06-24T06:59:03.887Z
Ellis Vega,ellis.vega@ext-7bf6fa.com,User,Designer,members AgentCreatorBootcampEMEA_June2026,2026-06-24T06:59:12.425Z
Fern Foster,fern.foster@ext-a876a8.com,User,Designer,members AgentCreatorBootcamp_AMER_May_2025,2025-05-12T15:00:45.039Z
Fern Miller,fern.miller@ext-138750.com,User,Designer,members AgentCreatorBootcamp_EMEA_January_2026 Bootcamp_EMEA_February_2026,2026-01-11T22:26:29.760Z
Fern Nash,fern.nash@ext-a876a8.com,User,Designer,members PartnerThree PartnerThree_Demos,2024-02-22T09:57:56.697Z
Fern Xia,fern.xia@snaplogic.com,User,Designer,members,2026-01-31T17:20:49.171Z
Fern Nguyen,fern.nguyen@ext-26da4f.com,User,Designer,members AgentCreatorBootcamp_EMEA_May_2025 AgentCreatorBootcamp_EMEA_June_2025 PartnerTwo Bootcamp_EMEA_February_2026,2025-05-18T20:53:16.172Z
Fern Ortiz,fern.ortiz@ext-f17098.com,User,Designer,members AgentCreatorBootcamp_EMEA_November_2025,2025-11-23T18:47:48.383Z
Fern Park,fern.park@ext-591bfe.com,User,Designer,members AgentCreatorBootcamp_EMEA_October_2025 PartnerOne,2025-10-06T16:15:28.105Z
Fern Reid,fern.reid@ext-84f9b1.com,User,Designer,members AgentCreatorBootcamp_AMER_May_2025,2025-05-12T15:00:36.994Z
Finley Grant,finley.grant@snaplogic.com,User,Designer,members,2026-01-31T17:20:58.427Z
Finley Knox,finley.knox@snaplogic.com,Environment admin,Designer AutoSync,members admins,2025-05-22T16:12:33.354Z
Finley Wang,finley.wang@snaplogic.com,Environment admin,Designer AutoSync,members admins,2023-05-03T20:12:40.500Z
Fern Singh,fern.singh@ext-f831a9.com,User,Designer,members AgentCreatorBootcamp_AMER_May_2025,2025-05-15T15:59:24.083Z
Fern Torres,fern.torres@ext-e5463a.com,User,Designer,members Bootcamp_EMEA_February_2026,2023-09-28T07:18:55.151Z
Gray Kim,gray.kim@snaplogic.com,User,Designer,members,2026-01-31T17:21:08.128Z
